empleado,id,sexo,edad,años_edc,pareja,estudiante_act,estrato,pc,internet,reside_padre,reside_madre,afro,gitano,indigena,palenquero,sin_rec_etnico
1,15905,1,53,11,1,0,3,0,1,0,0,0,0,0,0,1
1,1641,1,46,14,1,0,4,1,1,0,0,0,0,0,0,1
1,6432,0,68,2,0,0,3,0,0,0,0,0,0,0,0,1
0,26631,0,27,11,1,0,2,0,1,0,0,0,0,0,0,1
0,29678,0,40,11,0,0,2,1,1,0,1,0,0,0,0,1
1,21046,1,20,11,0,0,1,0,1,1,1,0,0,0,0,1
0,24301,0,61,11,0,0,2,0,0,0,0,0,0,0,0,1
0,7700,0,24,15,0,1,4,1,1,0,1,0,0,0,0,1
1,15057,1,39,16,1,0,3,1,1,0,0,0,0,0,0,1
1,22105,0,66,3,1,0,2,1,1,0,0,0,0,0,0,1
0,24953,0,18,11,1,0,2,1,1,0,0,0,0,0,0,1
1,14994,0,20,12,0,1,3,1,1,1,1,0,0,0,0,1
0,1602,0,30,18,1,1,3,0,1,0,0,0,0,0,0,1
0,25774,0,27,13,1,0,2,0,0,0,0,0,0,0,0,1
1,2450,1,29,13,0,0,2,0,1,0,1,0,0,0,0,1
0,20022,1,18,11,0,1,3,1,1,0,1,0,0,0,0,1
0,28489,0,25,16,0,0,2,1,1,0,0,0,0,0,0,1
0,35012,0,29,11,1,0,2,0,1,0,0,0,0,0,0,1
0,33568,0,31,11,1,0,2,1,0,0,0,0,0,0,0,1
0,35080,1,33,14,0,0,2,1,1,0,1,0,0,0,0,1
1,8653,1,24,11,1,0,2,0,0,0,0,0,0,0,0,1
0,27659,0,61,11,0,0,2,0,0,0,0,0,0,0,0,1
1,9312,1,33,11,1,0,1,0,0,0,0,0,0,0,0,1
1,16580,1,57,17,1,0,3,1,1,0,0,0,0,0,0,1
0,12946,1,65,11,1,0,3,1,1,0,0,0,0,1,0,0
0,35310,0,51,2,1,0,2,1,1,0,0,0,0,0,0,1
0,2139,0,35,11,0,0,2,1,1,0,1,0,0,0,0,1
0,36314,1,61,11,1,0,2,1,1,0,0,0,0,0,0,1
0,23019,0,64,13,0,0,3,1,1,0,1,0,0,0,0,1
1,7158,0,25,13,1,0,2,0,1,0,0,0,0,0,0,1
0,28990,0,42,13,0,0,2,0,1,0,0,0,0,0,0,1
1,18776,1,42,11,1,0,1,1,1,0,0,0,0,0,0,1
0,36092,1,20,11,0,0,2,1,1,1,1,0,0,0,0,1
1,21994,1,48,1,1,0,1,0,0,0,0,0,0,0,0,1
1,20698,0,35,19,1,0,3,1,1,0,0,0,0,0,0,1
0,31116,0,17,7,1,0,2,0,0,0,0,0,0,0,0,1
1,17335,0,28,11,0,0,3,0,1,0,0,0,0,0,0,1
0,29785,0,40,11,0,0,2,1,1,0,0,0,0,0,0,1
0,32200,0,44,16,0,0,3,1,1,0,1,0,0,0,0,1
0,14069,0,43,15,1,0,2,0,1,0,0,0,0,0,0,1
1,8001,1,57,26,1,0,3,1,1,0,0,0,0,0,0,1
1,1293,1,39,14,0,0,3,1,1,0,1,0,0,0,0,1
1,20069,0,22,13,0,0,3,0,1,0,1,0,0,0,0,1
0,26347,1,49,22,0,0,3,1,1,0,0,0,0,0,0,1
0,30168,0,34,5,1,0,1,0,0,0,0,0,0,0,0,1
1,1795,1,25,7,0,0,3,0,0,0,0,0,0,0,0,1
1,12626,1,42,16,0,0,3,1,1,0,1,0,0,0,0,1
1,20144,0,31,15,0,1,3,1,0,0,0,0,0,0,0,1
1,13359,0,34,17,1,1,2,1,1,0,1,0,0,0,0,1
0,4672,0,25,5,0,0,2,0,0,1,1,0,0,0,0,1
1,6958,0,57,20,0,0,6,1,1,0,0,0,0,0,0,1
1,6218,1,22,11,0,0,1,0,0,0,0,0,0,0,0,1
1,21173,1,57,11,1,0,1,1,1,0,0,0,0,0,0,1
1,17332,0,31,16,0,1,3,1,1,0,0,0,0,0,0,1
0,32543,0,22,11,0,0,3,0,1,1,1,0,0,0,0,1
1,20350,1,23,11,0,0,2,0,1,0,1,0,0,0,0,1
1,9163,1,77,5,0,0,2,0,1,0,0,0,0,0,0,1
0,30896,0,55,11,1,0,2,0,0,0,0,0,0,0,0,0
0,18587,1,20,6,0,0,3,0,0,0,1,0,0,0,0,1
1,21857,1,49,11,1,0,2,1,1,0,0,0,0,0,0,1
1,21140,1,58,11,1,0,4,1,1,0,0,0,0,0,0,1
1,1637,1,56,16,0,0,4,1,1,0,1,0,0,0,0,1
1,17717,1,18,11,0,0,2,0,1,0,1,0,0,0,0,1
1,600,1,24,11,0,0,2,0,1,0,0,0,0,0,0,1
0,24420,0,38,11,0,0,2,0,1,1,1,0,0,0,0,1
0,30876,1,19,5,0,0,1,0,0,0,1,0,0,0,0,1
0,18374,0,31,11,1,0,2,0,0,0,0,0,0,0,0,1
1,6413,0,42,14,0,0,3,1,1,0,0,0,0,0,0,1
0,2321,0,22,15,0,0,3,1,1,1,1,0,0,0,0,1
0,29207,0,40,11,0,0,2,1,1,0,0,0,0,0,0,1
0,26077,0,26,11,0,0,1,0,0,0,0,0,0,0,0,1
1,8483,0,35,16,1,0,3,1,1,0,0,0,0,0,0,1
1,10984,1,25,11,1,0,1,0,1,0,0,0,0,0,0,1
1,2285,1,40,16,1,0,3,1,1,0,0,0,0,0,0,1
0,30700,1,33,11,1,0,2,0,1,0,0,0,0,0,0,1
1,13306,1,52,14,1,0,3,1,1,0,0,0,0,0,0,1
0,34208,1,18,11,0,0,2,0,1,0,1,0,0,0,0,1
0,26650,1,43,16,0,0,4,1,1,1,1,0,0,0,0,1
1,18829,1,21,11,0,0,1,0,1,0,0,0,0,0,0,1
1,20572,1,40,5,1,0,2,0,1,0,0,0,0,0,0,1
1,2609,0,44,16,1,0,2,1,1,0,0,0,0,0,0,1
1,20630,1,62,16,1,0,3,1,1,0,0,0,0,0,0,1
1,4487,1,33,9,0,0,2,0,1,0,0,0,0,1,0,0
1,18750,1,30,11,0,0,3,0,0,0,1,0,0,0,0,1
0,31209,0,19,11,0,0,3,0,1,0,1,0,0,0,0,1
0,29470,0,44,16,0,0,3,1,1,0,1,0,0,0,0,1
0,32896,1,20,11,0,0,3,0,0,0,1,0,0,0,0,1
1,17654,1,33,16,1,0,3,0,1,0,0,0,0,0,0,1
1,21988,1,30,13,0,0,3,1,1,1,1,0,0,0,0,1
0,35283,0,26,13,0,0,2,1,1,0,1,0,0,0,0,1
0,16976,1,52,11,0,0,1,0,0,0,1,0,0,0,0,1
1,2303,1,35,11,1,0,3,1,1,0,0,0,0,0,0,1
1,5408,0,56,11,1,0,3,1,1,0,0,0,0,0,0,1
1,9560,1,56,11,1,0,2,1,1,0,0,0,0,0,0,1
0,23583,0,36,13,1,0,2,1,1,0,0,0,0,0,0,1
0,29073,0,35,10,0,0,2,0,1,0,0,0,0,0,0,1
0,36205,0,20,11,0,0,3,1,1,0,1,0,0,0,0,1
0,14533,1,34,11,0,0,1,1,0,0,0,0,0,0,0,1
1,15405,1,44,7,1,0,3,0,1,0,0,0,0,0,0,1
0,1412,1,56,11,0,0,2,0,1,0,0,0,0,0,0,1
0,31897,1,27,12,1,1,1,0,0,0,0,0,0,0,0,1
0,23829,0,43,11,1,0,2,1,1,0,0,0,0,0,0,1
1,15124,0,22,12,0,0,2,1,1,0,1,0,0,0,0,1
1,20446,0,32,11,1,0,3,1,1,0,0,0,0,0,0,1
0,23959,0,48,16,1,0,3,1,1,0,0,0,0,0,0,1
1,6440,0,71,5,0,0,2,1,1,0,0,0,0,0,0,1
0,22859,0,44,8,1,0,2,1,1,0,0,0,0,0,0,1
1,18878,1,47,16,1,0,2,1,1,0,0,0,0,0,0,1
0,14394,1,35,5,0,0,1,0,0,0,0,0,0,0,0,1
0,19399,1,20,11,0,0,2,1,1,0,1,0,0,0,0,1
1,21027,0,41,11,0,0,3,1,1,0,1,0,0,0,0,1
1,11671,0,26,16,0,0,3,1,1,1,1,0,0,0,0,1
1,9153,1,60,5,0,0,2,0,0,0,0,0,0,0,0,1
1,12705,1,35,22,0,0,4,1,1,0,1,0,0,0,0,1
0,25277,0,25,15,0,1,1,0,1,0,0,0,0,0,0,1
0,25483,1,60,12,1,0,3,1,1,0,0,0,0,0,0,1
0,29148,0,27,11,1,0,2,1,1,0,0,0,0,0,0,1
1,13226,1,41,3,0,0,2,1,1,0,0,0,0,0,0,1
0,23168,1,20,11,0,0,2,1,0,0,0,0,0,0,0,1
0,23783,0,23,13,1,0,2,0,0,0,0,0,0,0,0,1
0,4754,0,61,17,1,0,4,1,1,0,0,0,0,0,0,1
1,5823,1,57,5,1,0,2,0,1,0,0,0,0,0,0,1
1,17070,1,54,13,1,0,2,1,1,0,0,0,0,0,0,1
0,30459,0,61,17,1,0,3,1,1,0,0,0,0,0,0,1
1,12913,0,23,13,1,0,3,0,1,0,1,0,0,0,0,1
1,2357,0,26,14,0,0,4,1,1,0,0,0,0,0,0,1
1,18682,1,56,3,0,0,2,0,0,1,1,0,0,0,0,1
0,36132,1,62,5,1,0,1,1,1,0,0,1,0,0,0,0
1,11287,1,60,7,1,0,3,0,0,0,0,0,0,0,0,1
1,22015,1,74,0,1,0,1,0,1,0,0,0,0,0,0,1
1,3954,0,32,19,1,0,3,1,1,0,0,0,0,0,0,1
0,31042,0,24,16,0,0,2,1,1,1,1,0,0,0,0,1
0,19292,1,22,13,0,1,3,0,1,0,1,0,0,0,0,1
1,3800,1,26,11,1,0,1,1,1,0,0,0,0,0,0,1
0,28361,1,41,9,1,0,2,0,0,0,0,0,0,0,0,1
1,18977,0,36,9,1,0,1,0,0,0,0,0,0,0,0,1
1,10888,0,19,12,0,0,2,0,0,0,0,0,0,0,0,1
0,26184,1,35,13,1,0,2,1,1,0,0,0,0,0,0,1
0,9652,0,22,14,0,1,3,1,1,0,1,0,0,0,0,1
1,7539,1,26,11,1,0,2,0,0,0,0,0,0,0,0,1
1,18516,0,45,18,1,0,4,1,1,0,0,0,0,0,0,1
0,34806,1,18,11,0,1,1,0,1,0,1,0,0,0,0,1
0,29687,0,21,13,0,0,2,1,1,0,1,0,0,0,0,1
1,5602,0,54,5,1,0,3,1,1,0,0,0,0,0,0,1
1,10265,0,64,8,1,0,3,0,1,0,0,0,0,0,0,1
1,21455,1,32,5,1,0,2,0,1,0,0,0,0,0,0,1
0,33653,1,27,13,0,0,2,0,0,1,0,0,0,0,0,1
1,19725,0,48,5,1,0,2,0,0,0,0,0,0,0,0,1
1,16242,1,28,14,0,0,2,1,1,0,0,0,0,0,0,1
1,20161,0,52,13,0,0,2,1,1,0,0,0,0,0,0,1
1,58,0,50,18,0,0,4,1,1,0,1,0,0,0,0,1
0,10672,1,36,6,0,0,2,0,0,1,1,0,0,0,0,1
0,24141,0,22,15,0,1,3,1,1,1,1,0,0,0,0,1
0,32703,0,46,16,0,0,4,1,1,1,1,0,0,0,0,1
1,21575,0,48,11,1,0,1,0,0,0,0,0,0,0,0,1
0,31401,0,26,13,1,0,2,0,1,0,0,0,0,0,0,1
0,30965,0,19,12,0,1,3,1,1,0,1,0,0,0,0,1
0,2935,1,30,17,0,0,2,1,1,0,1,0,0,0,0,1
0,25067,0,21,11,0,0,3,0,1,0,1,0,0,0,0,1
0,17432,1,51,9,1,0,1,0,1,0,0,0,0,0,0,1
1,18342,0,45,16,1,0,3,1,1,0,0,0,0,0,0,1
1,6190,1,35,14,1,0,3,1,1,0,0,0,0,0,0,1
1,20412,0,21,10,1,0,2,0,1,0,0,0,0,0,0,1
1,5359,1,25,14,0,0,3,1,0,0,0,0,0,0,0,1
0,23828,0,44,9,1,0,2,1,1,0,0,0,0,0,0,1
0,35460,0,16,11,0,0,2,0,1,1,1,0,0,0,0,1
0,32355,1,66,8,1,0,3,0,1,0,0,0,0,0,0,1
1,13264,0,38,11,0,0,3,0,0,0,0,0,0,0,0,1
1,18773,1,30,11,1,0,3,0,1,0,1,0,0,0,0,1
1,334,1,30,5,1,0,3,0,0,0,0,0,0,0,0,1
1,14646,1,22,12,0,0,3,0,1,0,0,0,0,0,0,1
0,13171,0,43,11,1,0,2,1,1,0,0,0,0,0,0,1
1,12533,0,41,11,1,0,2,1,1,0,0,0,0,0,0,1
1,15464,1,56,11,1,0,2,1,1,0,0,0,0,0,0,1
0,23230,0,29,5,0,0,2,0,0,0,0,0,0,0,0,1
1,3958,1,41,11,1,0,3,1,1,0,0,0,0,0,0,1
0,33262,0,41,11,1,0,2,0,1,0,0,0,0,0,0,1
0,13492,1,26,11,0,0,3,0,0,0,1,0,0,0,0,1
1,5948,1,28,11,1,0,2,0,1,1,0,0,0,0,0,1
1,2299,0,38,11,1,0,3,1,1,0,0,0,0,0,0,1
1,19790,1,38,19,0,0,3,0,1,0,0,1,0,0,0,0
0,24550,0,23,16,0,0,4,1,1,1,1,0,0,0,0,1
0,22963,0,18,11,0,0,2,0,0,0,0,0,0,0,0,1
1,9773,1,62,8,1,0,3,1,1,0,0,0,0,0,0,1
0,10302,0,21,13,0,0,2,1,1,1,1,0,0,0,0,1
1,4593,1,40,16,1,0,4,1,1,0,0,0,0,0,0,1
0,23445,0,28,11,1,0,1,1,0,0,0,0,0,0,0,1
1,11532,1,25,16,0,0,3,1,1,1,1,0,0,0,0,1
0,1826,0,35,11,1,0,2,0,0,0,0,0,0,0,0,1
1,19779,1,22,11,0,0,1,0,0,0,0,1,0,0,0,0
0,19614,0,50,14,1,0,3,1,1,0,0,0,0,0,0,1
1,4189,1,23,11,1,0,3,0,1,0,0,0,0,0,0,1
0,35915,1,28,7,0,0,2,0,0,0,0,0,0,0,0,1
1,15270,0,41,11,0,0,2,0,1,0,0,0,0,0,0,1
0,26397,0,38,13,0,0,1,0,1,0,0,0,0,0,0,1
0,27916,1,52,11,1,0,2,1,1,0,0,0,0,0,0,1
1,21086,1,56,8,1,0,2,0,0,0,0,0,0,1,0,0
1,4912,1,24,11,1,0,2,1,1,0,1,0,0,0,0,1
1,12170,0,28,18,1,0,6,1,1,0,0,0,0,0,0,1
1,5111,0,28,11,1,0,3,1,1,0,0,0,0,0,0,1
0,31966,0,31,13,1,0,2,1,1,0,0,0,0,0,0,1
1,895,1,55,19,1,0,4,1,1,0,0,0,0,0,0,1
1,6170,1,29,11,0,0,1,0,0,1,1,0,0,0,0,1
0,32682,1,41,11,0,0,3,1,0,0,1,0,0,0,0,1
1,2572,1,50,5,1,0,3,1,1,0,0,0,0,0,0,1
0,29957,1,22,9,0,0,2,1,1,0,0,0,0,0,0,1
0,21469,0,23,13,0,1,2,1,1,1,0,0,0,0,0,1
0,3730,0,53,4,0,0,2,0,0,0,0,0,0,0,0,1
0,24185,0,23,16,0,0,3,1,1,1,1,0,0,0,0,1
0,34026,0,32,8,1,0,2,0,1,0,0,0,0,0,0,1
1,14895,1,36,11,0,0,2,1,1,0,0,0,0,0,0,1
0,23348,0,78,5,0,0,2,0,0,0,0,0,0,0,0,1
1,507,0,51,11,0,0,2,0,0,0,0,0,0,0,0,1
0,35725,1,67,5,1,0,2,0,0,0,0,0,0,0,0,1
1,16118,1,20,11,0,0,1,1,1,0,0,0,0,0,0,1
1,21388,1,45,11,0,0,3,0,0,0,0,0,0,0,0,1
0,8631,0,25,16,0,0,2,0,0,1,1,0,0,0,0,1
0,29163,0,29,11,1,0,2,1,1,0,0,0,0,0,0,1
1,18136,0,44,11,1,0,3,1,1,0,0,0,0,0,0,1
1,9529,0,38,16,0,0,1,1,1,0,0,0,0,0,0,1
0,24493,1,18,11,0,0,3,0,0,0,1,0,0,0,0,1
0,29953,1,20,11,0,0,2,1,1,0,1,0,0,0,0,1
1,13825,0,42,18,1,0,3,1,1,0,0,0,0,0,0,1
1,12694,1,47,9,1,0,2,1,1,0,0,0,0,0,0,1
0,29960,1,50,6,1,0,2,1,1,0,0,0,0,0,0,1
0,1503,0,57,11,0,0,3,0,1,0,0,0,0,0,0,1
0,27811,0,37,18,1,0,3,0,1,0,0,0,0,0,0,1
1,11060,1,34,11,1,0,2,1,1,0,0,0,0,0,0,1
0,36121,1,39,11,1,0,4,1,1,0,0,0,0,0,0,1
1,11802,0,56,7,0,0,3,0,0,0,0,0,0,0,0,1
1,7258,0,29,11,1,0,2,1,1,0,0,0,0,0,0,1
1,9770,1,23,16,0,0,4,1,1,0,0,0,0,0,0,1
1,12101,1,21,9,0,0,3,0,0,0,1,0,0,0,0,1
0,32736,0,19,13,0,0,2,1,1,0,1,0,0,0,0,1
1,13859,0,24,16,1,0,4,1,1,0,0,0,0,0,0,1
1,21360,1,26,16,1,0,3,1,1,0,0,0,0,0,0,1
1,15107,1,26,11,0,0,2,0,0,0,1,0,0,0,0,1
1,4573,0,30,14,1,0,3,1,1,0,0,0,0,0,0,1
1,2184,0,47,16,1,0,3,1,1,0,0,0,0,0,0,1
1,1018,1,74,19,0,0,4,1,1,0,0,0,0,0,0,1
1,1920,1,26,11,0,0,1,0,0,1,0,0,0,0,0,1
1,7387,1,58,16,0,0,3,1,1,0,0,0,0,0,0,1
1,5647,0,42,5,0,0,2,0,0,1,0,0,0,0,0,1
0,10857,0,21,13,0,0,2,1,1,0,1,0,0,0,0,1
0,5389,1,28,7,0,0,3,0,0,0,1,0,0,0,0,1
1,16365,0,38,9,0,0,3,1,1,0,0,0,0,0,0,1
0,34536,0,36,11,1,0,3,1,1,0,0,0,0,0,0,1
0,36235,0,51,11,0,0,2,0,0,0,0,0,0,0,0,1
0,27724,1,35,4,1,0,2,0,0,0,0,0,0,0,0,1
0,22975,0,49,3,1,0,2,0,0,0,0,0,0,0,0,1
1,9328,1,38,5,1,0,1,0,1,0,0,0,0,0,0,1
0,36218,0,62,5,0,0,2,0,0,0,0,0,0,0,0,1
1,11005,0,31,11,0,0,2,0,1,0,0,0,0,0,0,1
1,21446,0,38,11,1,0,2,1,1,0,0,0,0,0,0,1
0,25904,0,31,11,1,0,2,0,0,0,0,0,0,0,0,1
0,31192,1,31,11,0,0,3,1,1,0,1,0,0,0,0,1
0,24834,0,34,11,0,0,1,0,1,0,1,0,0,0,0,1
0,28641,0,20,12,0,1,2,1,0,1,1,0,0,0,0,1
0,28035,1,18,11,0,0,3,0,0,0,1,0,0,0,0,1
1,21108,1,32,11,1,0,3,1,1,0,0,0,0,0,0,1
0,28299,1,49,4,0,0,1,0,0,0,0,0,0,0,0,1
0,22512,0,46,3,0,0,1,0,0,0,0,0,0,0,0,1
1,15611,0,46,16,1,0,1,1,1,0,0,0,0,0,0,1
0,25192,0,23,11,0,0,3,0,1,0,1,0,0,0,0,1
1,11365,0,36,11,0,0,2,0,0,0,0,0,0,0,0,1
1,3203,1,24,16,0,0,2,1,1,1,1,0,0,0,0,1
0,11393,0,25,8,1,0,2,0,1,0,0,0,0,0,0,1
0,799,0,35,11,0,0,2,1,1,0,1,0,0,0,0,1
1,21350,1,27,16,0,1,2,1,1,0,0,0,0,0,0,1
0,26750,0,32,16,0,0,2,1,1,1,1,0,0,0,0,1
1,7580,1,19,11,0,0,1,0,0,0,1,0,0,0,0,1
0,31434,1,20,13,0,1,3,1,1,1,1,0,0,0,0,1
0,34521,0,26,18,1,0,3,1,1,0,0,0,0,0,0,1
0,31586,0,26,11,1,0,1,0,1,0,0,0,0,0,0,1
0,14818,1,36,6,1,0,2,0,0,0,0,0,0,0,0,1
1,11194,0,49,18,1,0,4,1,1,0,0,0,0,0,0,1
0,18324,0,22,11,0,0,2,0,1,1,1,0,0,0,0,1
0,34048,1,50,11,1,0,2,0,0,0,1,0,0,0,0,1
1,19772,1,34,5,1,0,3,0,1,0,0,0,0,0,0,1
0,22906,0,32,13,0,0,3,1,1,1,1,0,0,0,0,1
1,21111,0,26,15,0,1,2,1,1,0,1,0,0,0,0,1
0,27041,0,53,5,1,0,2,0,1,0,0,0,0,0,0,1
0,34339,0,57,2,0,0,1,0,1,0,0,0,0,0,0,1
0,25173,1,20,11,0,0,1,1,1,1,1,1,0,0,0,0
0,25646,1,18,11,0,0,2,0,0,1,0,0,0,0,0,1
0,35098,1,29,11,1,0,1,0,0,0,0,0,0,0,0,1
1,14768,0,41,16,1,0,4,1,1,0,0,0,0,0,0,1
0,23685,0,27,12,1,0,2,0,0,0,0,0,0,0,0,1
0,24901,0,43,16,0,0,3,0,1,0,0,0,0,0,0,1
0,18594,0,21,15,0,1,3,1,1,0,1,0,0,0,0,1
0,12582,0,44,11,1,0,2,1,1,0,0,0,0,0,0,1
0,26499,0,23,5,0,0,2,1,0,1,1,0,0,0,0,1
0,32619,0,31,16,1,0,3,1,1,0,0,0,0,0,0,1
0,29114,0,24,13,0,0,2,1,1,0,0,0,0,0,0,1
1,21002,1,43,11,0,0,4,0,0,0,0,0,0,0,0,1
1,18234,1,63,20,1,0,5,1,1,0,0,0,0,0,0,1
1,3770,1,47,4,1,0,2,0,0,0,0,0,0,0,0,1
0,29803,0,25,15,0,1,1,0,1,0,0,0,0,0,0,1
1,18150,1,19,12,0,1,2,1,1,0,1,0,0,0,0,1
1,2042,0,42,16,1,0,4,1,1,0,0,0,0,0,0,1
1,15213,1,24,13,0,0,3,0,0,0,0,0,0,0,0,1
1,4934,0,26,16,1,1,1,1,1,0,0,0,0,0,0,1
0,29307,1,41,10,0,0,3,0,0,0,1,0,0,0,0,1
0,32927,0,27,11,1,0,1,1,1,0,0,0,0,0,0,1
1,7401,1,29,17,0,0,3,0,1,0,0,0,0,0,0,1
0,24020,0,21,11,0,0,3,1,1,1,1,0,0,0,0,1
0,24491,1,54,16,1,0,3,1,1,0,0,0,0,0,0,1
1,6482,1,57,11,1,0,3,1,1,0,0,0,0,0,0,1
1,4760,0,42,16,1,0,4,1,1,0,0,0,0,0,0,1
1,15494,1,64,11,1,0,2,1,1,0,0,0,0,0,0,1
0,27617,1,30,16,0,0,4,1,1,0,0,0,0,0,0,1
1,8491,1,52,19,1,0,5,1,1,0,0,0,0,0,0,1
0,29368,1,37,9,0,0,2,0,0,0,0,0,0,0,0,1
1,3346,1,47,10,1,0,3,1,1,0,0,0,0,0,0,1
0,4709,0,28,11,1,0,2,1,0,0,0,0,0,0,0,1
0,22318,0,54,11,0,0,2,0,0,0,0,0,0,0,0,1
1,10904,0,22,11,1,0,3,0,1,0,0,0,0,0,0,1
0,30839,1,28,11,0,0,3,1,1,1,1,0,0,0,0,1
1,11160,1,24,12,1,0,3,0,1,0,0,0,0,0,0,1
0,23691,0,50,4,1,0,2,1,1,0,0,0,0,0,0,1
0,28899,0,23,11,0,0,2,0,0,0,1,0,0,0,0,1
1,2097,1,32,11,0,0,1,0,1,1,1,0,0,0,0,1
1,11069,0,34,7,0,0,1,0,1,0,1,0,0,0,0,1
1,20555,1,25,11,1,0,2,0,1,0,0,0,0,0,0,1
1,5853,1,22,11,1,0,3,1,1,1,1,0,0,0,0,1
0,35042,0,32,5,1,0,2,0,1,0,0,0,0,0,0,1
0,35722,0,26,11,1,0,2,1,1,0,0,0,0,0,0,1
